pipeline,n,tp,tn,fp,fn,accuracy,precision,recall,f1,errors,mean_latency_s
baseline,2,0,1,0,1,0.5,0.0,0.0,0.0,0,36.87
multiagent,2,1,0,1,0,0.5,0.5,1.0,0.6667,0,187.83
